0	1	2	3	4	5	6
AL133245.2	0	0	0	0	0	0	0
AL157902.3	0	0	0	0	0	0	0
AL354822.1	0	0	0	0	0	0	0
AL356585.2	0	0	0	0	0	0	0
AL358852.1	0	0	0	0	0	0	0
AL365181.2	0	0	0	0	0	0	0
AL450992.2	0	0	0	0	0	0	0
AL591893.1	0	0	0	0	0	0	0
AL592183.1	0	0	0	0	0	0	0
AL928654.7	0	0	0	0	0	0	0
AL928768.3	0	0	0	0	0	0	0
ALAD	0	0	0	0	0	0	0
ALAS1	0	0	0	0	0	0	0
ALCAM	0	0	0	0	0	0	0
ALDH16A1	0	0	0	0	0	0	0
ALDH18A1	0	0	0	0	0	0	0
ALDH1A1	0	0	0	0	0	0	0
ALDH1A2	0	0	0	0	0	0	0
ALDH1B1	0	0	0	0	0	0	0
ALDH1L1	0	0	0	0	0	0	0
ALDH2	0	0	0	0	0	0	0
ALDH3A2	0	0	0	0	0	0	0
ALDH3B1	0	0	0	0	0	0	0
ALDH4A1	0	0	0	0	0	0	0
ALDH5A1	0	0	0	0	0	0	0
ALDH6A1	0	0	0	0	0	0	0
ALDH7A1	0	0	0	0	0	0	0
ALDH9A1	0	0	0	0	0	0	0
ALDOA	0	0	0	0	0	0	0
ALDOC	0	0	0	0	0	0	0
ALG1	0	0	0	0	0	0	0
ALG10	0	0	0	0	0	0	0
ALG10B	0	0	0	0	0	0	0
ALG11	0	0	0	0	0	0	0
ALG12	0	0	0	0	0	0	0
ALG13	0	0	0	0	0	0	0
ALG14	0	0	0	0	0	0	0
ALG1L	0	0	0	0	0	0	0
ALG1L2	0	0	0	0	0	0	0
ALG2	0	0	0	0	0	0	0
ALG3	0	0	0	0	0	0	0
ALG5	0	0	0	0	0	0	0
ALG6	0	0	0	0	0	0	0
ALG8	0	0	0	0	0	0	0
ALG9	0	0	0	0	0	0	0
ALKBH1	0	0	0	0	0	0	0
ALKBH2	0	0	0	0	0	0	0
ALKBH3	0	0	0	0	0	0	0
ALKBH4	0	0	0	0	0	0	0
ALKBH5	0	0	0	0	0	0	0
ALKBH6	0	0	0	0	0	0	0
ALKBH7	0	0	0	0	0	0	0
ALKBH8	0	0	0	0	0	0	0
ALMS1	0	0	0	0	0	0	0
ALOX12-AS1	0	0	0	0	0	0	0
ALOX12B	0	0	0	0	0	0	0
ALOX15	0	0	0	0	0	0	0
